price_main,title,rooms,area,floor,building_type,materials,year,district
3447000 грн,"вул. Васильківська, 18",1 кімната,52 / 20 / 11 м²,поверх 11 з 17,спец. проект,монолітно-каркасний,2002,Голосіїво
12064500 грн,"вул. Сєченова, 7а",4 кімнати,150 / 95 / 20 м²,поверх 6 з 18,спец. проект,монолітно-каркасний,2004,Голосіїво
3447000 грн,"вул. Ломоносова, 29",2 кімнати,50 / 30.5 / 7.8 м²,поверх 7 з 9,серія 96,утеплена панель,1981,Голосіїво
2681000 грн,"вул. Максимовича, 26",1 кімната,41 / 14 / 14 м²,поверх 10 з 21,спец. проект,цегляний будинок,2018,Голосіїво
6702500 грн,"вул. Сєченова, 7а",3 кімнати,137 / 86 / 18 м²,поверх 17 з 18,спец. проект,монолітно-каркасний,2004,Голосіїво
2527800 грн,"вул. Максимовича, 26",1 кімната,41 / 14 / 20 м²,поверх 6 з 21,спец. проект,цегляний будинок,2018,Голосіїво
2144800 грн,"вул. Маричанська, 9",1 кімната,32 / 15 / 6 м²,поверх 5 з 5,сталінка,цегляний будинок,1957,Голосіїво
3638500 грн,"вул. Максимовича, 32а",2 кімнати,52 / 16 / 18 м²,поверх 20 з 24,спец. проект,монолітно-каркасний,2021,Голосіїво
4864100 грн,"просп. Голосіївський, 88",3 кімнати,74.37 / 54 / 10.3 м²,поверх 2 з 5,сталінка,цегляний будинок,1960,Голосіїво
4519400 грн,"вул. Максимовича, 3д",1 кімната,57 / 13.5 / 22.6 м²,поверх 14 з 21,спец. проект,монолітно-каркасний,2017,Голосіїво
2757600 грн,"вул. Максимовича, 32а",1 кімната,52 / 18 / 19 м²,поверх 3 з 23,спец. проект,монолітно-каркасний,2021,Голосіїво
2485670 грн,"вул. Ломоносова, 22/15",1 кімната,38 / 19 / 9 м²,поверх 1 з 5,сталінка,цегляний будинок,1959,Голосіїво
6128000 грн,"вул. Максимовича, 3г",3 кімнати,117 / 45 / 42 м²,поверх 22 з 23,спец. проект,монолітно-каркасний,2012,Голосіїво
3064000 грн,"вул. Васильківська, 40",3 кімнати,78 / 42 / 10 м²,поверх 1 з 9,серія 96,утеплена панель,1982,Голосіїво
9575000 грн,"просп. Голосіївський, 130/57",4 кімнати,130 / 86 / 20 м²,поверх 13 з 14,спец. проект,монолітно-каркасний,2005,Голосіїво
