price_main,rooms,area,floor,building_type,materials,district,building_type_old,materials_old,district_old,house_age,price_per_meter,repair
2604400,2,52.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,53,50085,0.0
2757600,1,43.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,11,64130,0.0
2757600,3,68.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,54,40553,2.0
2029900,2,46.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,54,44128,2.0
1340500,1,32.0,1,0.7559753651467324,0.3894183423086505,0.1986693307950612,гостинка,цегляний будинок,Березняки,53,41891,2.0
1072400,1,22.0,1,0.7559753651467324,0.3894183423086505,0.1986693307950612,гостинка,цегляний будинок,Березняки,53,48745,0.0
2298000,1,37.0,1,0.0713678483400785,0.7173560908995228,0.4684185876172392,спец. проект,панельні,Берковець,5,62108,1.0
2374562,2,56.0,1,0.0713678483400785,0.7173560908995228,0.4684185876172392,спец. проект,панельні,Берковець,6,42403,0.0
1742650,1,37.0,1,0.0713678483400785,0.7173560908995228,0.4684185876172392,спец. проект,панельні,Берковець,7,47099,2.0
1700520,1,37.0,1,0.0713678483400785,0.7173560908995228,0.4684185876172392,спец. проект,панельні,Берковець,7,45960,2.0
2531630,2,55.1,1,0.0713678483400785,0.7173560908995228,0.4684185876172392,спец. проект,панельні,Берковець,5,45946,2.0
2834162,3,70.0,1,0.479425538604203,0.5646424733950354,0.4684185876172392,серія 96,утеплена панель,Берковець,34,40488,0.0
4596000,4,140.0,1,0.0713678483400785,0.3894183423086505,0.5951883378216895,спец. проект,цегляний будинок,Биківня,7,32829,1.0
4557700,2,84.0,1,0.0713678483400785,0.0,0.5951883378216895,спец. проект,монолітно-каркасний,Биківня,3,54258,2.0
4174700,2,69.0,1,0.0713678483400785,0.3894183423086505,0.5951883378216895,спец. проект,цегляний будинок,Биківня,4,60503,2.0
3504450,2,85.0,1,0.0713678483400785,0.3894183423086505,0.5951883378216895,спец. проект,цегляний будинок,Биківня,7,41229,1.0
8809000,4,144.0,1,0.0713678483400785,0.3894183423086505,0.5951883378216895,спец. проект,цегляний будинок,Биківня,6,61174,2.0
4117250,3,95.0,0,0.0713678483400785,0.3894183423086505,0.5951883378216895,спец. проект,цегляний будинок,Биківня,7,43339,1.0
1378800,1,36.0,1,0.1423717297922636,0.3894183423086505,0.5951883378216895,серія 87,цегляний будинок,Биківня,44,38300,1.0
2451200,1,38.0,1,0.0713678483400785,0.3894183423086505,0.5951883378216895,спец. проект,цегляний будинок,Биківня,7,64505,2.0
4557700,3,84.0,1,0.0713678483400785,0.0,0.5951883378216895,спец. проект,монолітно-каркасний,Биківня,3,54258,2.0
15588100,2,110.0,1,0.0713678483400785,0.0,0.5951883378216895,спец. проект,монолітно-каркасний,Биківня,3,141710,0.0
2793219,2,66.3,1,0.0713678483400785,0.3894183423086505,0.5951883378216895,спец. проект,цегляний будинок,Биківня,3,42130,1.0
2097308,2,59.2,0,0.0713678483400785,0.3894183423086505,0.5951883378216895,спец. проект,цегляний будинок,Биківня,3,35428,1.0
2795900,1,43.0,1,0.0713678483400785,0.3894183423086505,0.5951883378216895,спец. проект,цегляний будинок,Биківня,7,65021,2.0
2401410,3,76.0,1,0.0713678483400785,0.3894183423086505,0.5951883378216895,спец. проект,цегляний будинок,Биківня,3,31598,1.0
2527762,1,45.0,1,0.0713678483400785,0.3894183423086505,0.5951883378216895,спец. проект,цегляний будинок,Биківня,3,56172,2.0
2298000,1,51.0,1,0.0713678483400785,0.3894183423086505,0.5951883378216895,спец. проект,цегляний будинок,Биківня,7,45059,1.0
1723462,1,42.0,0,0.0713678483400785,0.3894183423086505,0.5951883378216895,спец. проект,цегляний будинок,Биківня,3,41035,1.0
1455362,1,36.8,1,0.0713678483400785,0.3894183423086505,0.5951883378216895,спец. проект,цегляний будинок,Биківня,3,39548,1.0
6434400,4,160.0,1,0.0713678483400785,0.3894183423086505,0.5951883378216895,спец. проект,цегляний будинок,Биківня,7,40215,1.0
1334755,1,36.0,1,0.0713678483400785,0.3894183423086505,0.5951883378216895,спец. проект,цегляний будинок,Биківня,3,37077,1.0
1723500,3,53.0,0,0.8007650746487527,0.3894183423086505,0.5951883378216895,хрущівка,цегляний будинок,Биківня,53,32519,1.0
1723500,1,40.0,1,0.0713678483400785,0.0,0.5951883378216895,спец. проект,монолітно-каркасний,Биківня,3,43088,1.0
